synset	emotional	sentence	substitute	more_specific_terms																																																																																																																										
Synset('blast.v.07')	0	He <b>shot</b> away at the men.	fire	"blaze_away, blaze"	gun	"open_fire, fire"	overshoot	pump	"sharpshoot, snipe"																																																																																																																					
Synset('depart.v.03')	0	The spaceship <b>departed</b> out into space.	take off	"blaze, blaze_out"	roar_off	"sally_forth, sally_out"	"take_off, lift_off"																																																																																																																							
Synset('knock.v.06')	1	The Senator <b>criticized</b> the administration in his speech on Friday.	denounce	"admonish, reprove"	"attack, round, assail, lash_out, snipe, assault"	"belabor, belabour"	"blame, find_fault, pick"	"call_on_the_carpet, take_to_task, rebuke, rag, trounce, reproof, lecture, reprimand, jaw, dress_down, call_down, scold, chide, berate, bawl_out, remonstrate, chew_out, chew_up, have_words, lambaste, lambast"	come_down	denounce	deplore	"disparage, belittle, pick_at"	harsh_on	nitpick	reprehend	"reprimand, censure, criminate"	"savage, blast, pillory, crucify"																																																																																																													
Synset('knock.v.06')	1	The candidate <b>criticized</b> into his opponent mercilessly.	denounce	"admonish, reprove"	"attack, round, assail, lash_out, snipe, assault"	"belabor, belabour"	"blame, find_fault, pick"	"call_on_the_carpet, take_to_task, rebuke, rag, trounce, reproof, lecture, reprimand, jaw, dress_down, call_down, scold, chide, berate, bawl_out, remonstrate, chew_out, chew_up, have_words, lambaste, lambast"	come_down	denounce	deplore	"disparage, belittle, pick_at"	harsh_on	nitpick	reprehend	"reprimand, censure, criminate"	"savage, blast, pillory, crucify"																																																																																																													
Synset('better.v.02')	1	The tax cut will <b>improve</b> the economy.	advance	advance	build	"build_up, develop"	condition	educate	emend	enhance	enrich	"fancify, beautify, embellish, prettify"	fructify	"help, aid"	help	"iron_out, straighten_out, put_right"	"perfect, hone"	"polish, refine, fine-tune, down"	"purify, sublimate, make_pure, distill"	"raise, lift"	reform	reform	"regenerate, revitalize"	"relieve, alleviate, palliate, assuage"	"repair, mend, fix, bushel, doctor, furbish_up, restore, touch_on"	turn_around	upgrade	upgrade																																																																																																		
Synset('intend.v.01')	2	She <b>intended</b> to go far in the world of business.	plan	"aim, purpose, purport, propose"	design	"plan, be_after"																																																																																																																								
Synset('weaken.v.01')	0	Life in the camp <b>weakened</b> him.	depress	blunt	break	"cripple, stultify"	dampen	"de-energize, de-energise"	depress	"devitalize, devitalise"	"dilute, thin, thin_out, reduce, cut"	"emasculate, castrate"	enervate	"enfeeble, debilitate, drain"	etiolate	"neutralize, neutralise, nullify, negate"	"rarefy, attenuate"	shake	"temper, season, mollify"	unbrace	wash_out																																																																																																									
Synset('weaken.v.01')	0	The bad news <b>weakened</b> her hopes.	depress	blunt	break	"cripple, stultify"	dampen	"de-energize, de-energise"	depress	"devitalize, devitalise"	"dilute, thin, thin_out, reduce, cut"	"emasculate, castrate"	enervate	"enfeeble, debilitate, drain"	etiolate	"neutralize, neutralise, nullify, negate"	"rarefy, attenuate"	shake	"temper, season, mollify"	unbrace	wash_out																																																																																																									
Synset('consume.v.05')	1	The exercise class <b>depletes</b> me of energy.	drain	"burn_off, burn, burn_up"	drain	"indulge, luxuriate"	"run_down, exhaust, play_out, sap, tire"	run_out	spend																																																																																																																					
