meta_term	meta_example	literal_term	literal_example	meta_is_more_emotiona	specificity	common_hyper									
abuse	Her husband often <b>abuses</b> alcohol.	drinks	Her husband often <b>drinks</b> alcohol.	1											
ascend	Inheritance may not <b>ascend</b> linearly.	pass on	Inheritance may not <b>pass on</b> linearly.	1											
blaze	He <b>blazed</b> away at the men.	shot	He <b>shot</b> away at the men.	1	1.0	"(Synset('blast.v.07'), 1, 0, Synset('blaze_away.v.02'), Synset('blast.v.07'))"									
blaze	The spaceship <b>blazed</b> out into space.	departed	The spaceship <b>departed</b> out into space.	1	1.0	"(Synset('depart.v.03'), 1, 0, Synset('blaze.v.04'), Synset('depart.v.03'))"	"(Synset('leave.v.01'), 2, 1, Synset('blaze.v.04'), Synset('depart.v.04'))"								
blister	The Senator <b>blistered</b> the administration in his speech on Friday.	criticized	The Senator <b>criticized</b> the administration in his speech on Friday.	1	1.0	"(Synset('knock.v.06'), 2, 0, Synset('blister.v.02'), Synset('knock.v.06'))"									
boost	The tax cut will <b>boost</b> the economy.	improve	The tax cut will <b>improve</b> the economy.	1	1.0	"(Synset('change.v.01'), 2, 1, Synset('boost.v.02'), Synset('better.v.02'))"									
circulate	She <b>circulates</b> among royalty.	appears	She <b>appears</b> among royalty.	1											
cloud	Their faces were <b>clouded</b> with sadness.	marked	Their faces were <b>marked</b> with sadness.	1											
cloud	The stroke <b>clouded</b> memories of her youth.	impaired	The stroke <b>impaired</b> memories of her youth.	1	0.0	"(Synset('change.v.01'), 1, 2, Synset('cloud.v.06'), Synset('impair.v.01'))"	"(Synset('change.v.01'), 1, 2, Synset('cloud.v.06'), Synset('mar.v.01'))"								
design	She <b>designed</b> to go far in the world of business.	intended	She <b>intended</b> to go far in the world of business.	1	1.0	"(Synset('intend.v.01'), 1, 0, Synset('design.v.07'), Synset('intend.v.01'))"									
drain	Life in the camp <b>drained</b> him.	weakened	Life in the camp <b>weakened</b> him.	1	1.0	"(Synset('weaken.v.01'), 1, 0, Synset('enfeeble.v.01'), Synset('weaken.v.01'))"	"(Synset('change.v.01'), 2, 2, Synset('enfeeble.v.01'), Synset('de-escalate.v.02'))"	"(Synset('change.v.01'), 2, 2, Synset('enfeeble.v.01'), Synset('dampen.v.07'))"							
drain	The exercise class <b>drains</b> me of energy.	depletes	The exercise class <b>depletes</b> me of energy.	1	1.0	"(Synset('consume.v.05'), 1, 0, Synset('drain.v.02'), Synset('consume.v.05'))"									
exhaust	One should not <b>exhaust</b> one's savings.	use up	One should not <b>use up</b> one's savings.	1											
exhaust	We have <b>exhausted</b> the food supplies.	used up	We have <b>used up</b> the food supplies.	1											
